# old_republic_50.SC2Replay — build order golden
# player: Terror (Protoss) mmr=3863
# columns: start,finish,supply_used,supply_made,kind,action,count,outcome
00:00,00:11,0,0,W,Probe,3,C
00:22,00:40,15,15,S,Pylon,1,C
00:40,00:52,15,15,W,Probe,1,C
00:41,01:28,15,15,S,Gateway,1,C
00:46,01:08,16,23,S,Assimilator,1,C
00:52,01:04,16,23,W,Probe,2,C
01:06,01:24,18,23,S,Pylon,1,C
01:12,01:59,18,23,S,Gateway,1,C
01:17,01:29,18,23,W,Probe,1,C
01:29,02:04,19,31,S,CyberneticsCore,1,C
01:29,01:41,19,31,W,Probe,1,C
01:33,01:54,20,31,S,Assimilator,1,C
01:37,02:04,20,31,U,Zealot,1,C
01:41,01:54,22,31,W,Probe,1,C
01:45,02:03,22,31,S,Pylon,1,C
01:53,02:06,23,31,W,Probe,1,C
01:57,02:24,24,31,U,Stalker,2,C
02:12,02:24,28,39,W,Probe,1,C
02:23,02:50,29,39,U,Stalker,2,C
02:25,02:37,29,39,W,Probe,1,C
02:30,02:48,34,39,S,Pylon,1,C
02:41,02:53,34,39,W,Probe,1,C
02:50,03:17,35,39,U,Stalker,3,C
03:20,03:32,39,47,W,Probe,1,C
03:29,04:41,42,47,S,Nexus,2,C
03:57,05:37,42,47,R,WarpGateResearch,1,C
04:04,04:39,42,47,S,TwilightCouncil,1,C
04:10,04:52,42,47,S,Stargate,1,C
04:18,05:05,42,47,S,Gateway,2,C
04:31,04:43,42,47,W,Probe,3,C
04:52,06:32,41,62,R,Charge,1,C
04:57,05:40,43,62,U,VoidRay,1,C
04:59,05:11,43,62,W,Probe,7,C
05:20,05:56,52,77,S,TemplarArchive,1,C
05:23,05:35,53,77,W,Probe,4,C
05:37,05:44,54,77,S,WarpGate,4,C
05:38,05:50,54,77,W,Probe,1,C
05:47,06:05,57,77,S,Pylon,1,C
05:55,06:38,57,77,U,VoidRay,1,C
05:57,06:09,61,77,W,Probe,1,C
06:00,07:19,61,77,R,PsiStormTech,1,C
06:00,06:47,61,77,S,Gateway,1,C
06:03,06:15,61,77,W,Probe,2,C
06:04,06:26,64,77,S,Assimilator,2,C
06:09,06:21,64,77,W,Probe,2,C
06:15,06:33,65,85,S,Pylon,1,C
06:15,06:27,65,85,W,Probe,4,C
06:32,06:59,67,85,S,Zealot,4,C
06:38,06:56,78,93,S,Pylon,1,C
06:46,07:18,78,93,S,Forge,1,C
06:47,06:54,78,93,S,WarpGate,1,C
06:48,07:20,78,93,S,Forge,1,C
06:50,07:03,78,93,W,Probe,3,C
07:01,07:40,81,93,S,HighTemplar,2,C
07:03,07:15,85,101,W,Probe,1,C
07:03,07:30,85,101,S,Zealot,1,C
07:03,07:15,85,101,W,Probe,1,C
07:03,07:30,85,101,S,Zealot,2,C
07:03,07:15,85,101,W,Probe,1,C
07:08,09:09,85,101,P,ProtossGroundWeaponsLevel1,1,C
07:09,09:10,94,101,P,ProtossGroundArmorsLevel1,1,C
07:11,07:54,94,101,U,VoidRay,1,C
07:15,07:27,94,101,W,Probe,3,C
07:25,07:54,101,101,S,PhotonCannon,2,C
07:37,07:54,101,101,S,Pylon,1,C
07:42,08:28,101,101,S,Gateway,1,C
07:47,08:05,101,101,S,Pylon,1,C
07:48,09:50,101,101,R,BlinkTech,1,C
07:49,08:07,101,101,S,Pylon,1,C
07:54,08:07,101,101,W,Probe,3,C
07:57,08:19,101,101,S,Assimilator,1,C
08:01,10:09,104,109,P,ProtossAirWeaponsLevel1,1,C
08:01,08:23,104,109,S,Assimilator,1,C
08:07,08:19,103,117,W,Probe,3,C
08:11,08:58,103,117,S,Gateway,2,C
08:13,09:00,106,125,S,RoboticsFacility,2,C
08:19,08:31,106,125,W,Probe,3,C
08:19,08:48,106,125,S,PhotonCannon,1,C
08:28,08:36,109,125,S,WarpGate,1,C
08:31,08:43,109,125,W,Probe,3,C
08:39,09:51,112,125,S,Nexus,1,C
08:40,08:58,112,125,S,Pylon,1,C
08:41,09:24,112,125,U,VoidRay,1,C
08:43,08:55,116,125,W,Probe,3,C
08:52,09:14,119,125,S,Assimilator,1,C
08:55,09:07,119,125,W,Probe,3,C
08:56,09:17,122,125,S,Assimilator,1,C
08:57,09:05,122,125,S,WarpGate,2,C
09:02,09:29,122,125,S,Zealot,5,C
09:07,09:19,132,133,W,Probe,1,C
09:21,11:46,133,133,P,ProtossGroundWeaponsLevel2,1,C
09:22,09:39,133,133,S,Pylon,1,C
09:22,11:47,133,133,P,ProtossGroundArmorsLevel2,1,C
09:31,10:30,133,133,S,Nexus,1,X
09:35,10:21,133,133,S,RoboticsBay,1,C
09:39,09:52,133,133,W,Probe,3,C
09:57,10:37,133,156,U,Immortal,2,C
10:03,10:30,103,156,S,Zealot,8,C
10:12,10:24,115,156,W,Probe,2,C
10:14,11:00,115,156,S,Gateway,1,C
10:15,10:33,125,156,S,Pylon,2,C
10:18,10:28,125,156,S,Pylon,1,X
10:24,11:03,125,156,S,HighTemplar,1,C
10:25,10:52,125,156,S,Zealot,7,C
10:40,11:09,140,172,S,ShieldBattery,3,C
10:43,11:01,140,164,S,Pylon,2,C
11:00,11:07,134,141,S,WarpGate,1,C
