# old_republic_50.SC2Replay — build order golden
# player: firebat (Terran) mmr=3957
# columns: start,finish,supply_used,supply_made,kind,action,count,outcome,producer,producer_id
00:01,00:13,12,15,W,SCV,2,C,CommandCenter,1
00:18,00:39,14,15,S,SupplyDepot,1,C,,
00:30,00:37,15,15,W,SCV,2,C,CommandCenter,1
00:40,01:26,15,15,S,Barracks,1,C,,
00:44,01:05,16,23,S,Refinery,1,C,,
00:53,01:04,16,23,W,SCV,3,C,CommandCenter,1
01:28,02:00,19,23,U,Reaper,1,C,Barracks,1
01:29,01:54,19,23,S,OrbitalCommand,1,C,CommandCenter,1
01:44,02:55,20,23,S,CommandCenter,1,C,,
01:53,02:15,20,23,S,SupplyDepot,1,C,,
01:57,02:10,20,23,W,SCV,1,C,CommandCenter,1
02:04,02:33,21,23,S,Bunker,1,C,,
02:05,02:23,21,23,S,BarracksTechLab,1,C,,
02:12,02:24,21,23,W,SCV,1,C,CommandCenter,1
02:18,03:04,22,31,S,Barracks,1,C,,
02:24,02:36,22,31,W,SCV,1,C,CommandCenter,1
02:26,02:48,22,31,U,Marauder,1,C,Barracks,1
02:29,03:12,22,31,R,PunisherGrenades,1,C,BarracksTechLab,1
02:36,02:48,25,31,W,SCV,1,C,CommandCenter,1
02:44,03:10,26,31,S,Bunker,1,D,,
02:48,03:00,26,31,W,SCV,1,C,CommandCenter,1
03:03,03:25,26,46,U,Marauder,1,C,Barracks,1
03:13,03:49,26,46,S,BarracksReactor,1,C,,
03:17,04:28,26,46,S,CommandCenter,1,C,,
03:29,03:50,26,46,U,Marauder,1,C,Barracks,1
03:33,03:58,26,46,S,OrbitalCommand,1,C,CommandCenter,2
03:36,05:16,27,46,R,Stimpack,1,C,BarracksTechLab,1
03:38,03:50,27,46,W,SCV,1,C,CommandCenter,1
03:43,03:45,28,46,S,SupplyDepot,1,X,,
03:46,04:11,28,46,S,EngineeringBay,1,C,,
03:50,04:11,28,46,S,Refinery,1,C,,
03:51,04:08,28,46,U,Marine,2,C,Barracks,2
03:55,04:03,28,46,W,SCV,1,C,CommandCenter,1
04:02,04:49,31,46,S,Barracks,1,C,,
04:08,04:15,32,46,W,SCV,1,C,CommandCenter,1
04:08,04:20,32,46,W,SCV,1,C,CommandCenter,2
04:15,04:27,33,46,W,SCV,1,C,CommandCenter,1
04:17,04:35,33,46,U,Marine,2,C,Barracks,2
04:18,04:40,36,46,U,Marauder,1,C,Barracks,1
04:25,04:43,38,46,S,MissileTurret,1,C,,
